y,term,estimate,std.error,statistic,p.value,sig,ci.lower,ci.upper,Chisq,Pr(>Chisq),sig_modified,waldtest_sig
Body_arrangement,Dim.3,-0.2286747171324036,0.3920225626852648,-0.5833202955616487,0.5596777023525419,,-0.9970248211226181,0.5396753868578109,5.1864768890442585,0.158640689635911,,FALSE
Body_positioning,Dim.1,0.03854246358186346,0.16585172085049296,0.23239109841137895,0.8162342621373977,,-0.2865209360590934,0.36360586322282035,3.219765636179059,0.3589667898989081,,FALSE
Body_positioning,Dim.2,0.4638215746578986,0.2644062944161948,1.754200200422648,0.07939620890571214,,-0.05440523968353711,0.9820483889993343,3.219765636179059,0.3589667898989081,,FALSE
Body_positioning,Dim.3,-0.05831776664915981,0.37963453242819617,-0.15361554776419079,0.877912877112225,,-0.8023877774961273,0.6857522441978078,3.219765636179059,0.3589667898989081,,FALSE
C14,Dim.1,-0.03809701563548948,0.16152818955343082,-0.23585366579551506,0.8135462233222223,,-0.35468644964817275,0.27849241837719385,1.9133332121465942,0.5905880824565409,,FALSE
C14,Dim.2,-0.22619654975344938,0.17896961657181595,-1.2638824068926944,0.2062722372988434,,-0.5769705525611514,0.12457745305425261,1.9133332121465942,0.5905880824565409,,FALSE
C14,Dim.3,0.13021298761772243,0.3226610042896297,0.4035597295198386,0.6865365038853357,,-0.5021909600054755,0.7626169352409204,1.9133332121465942,0.5905880824565409,,FALSE
Culture,Dim.1,0.1266645225149549,0.16702204996098755,0.7583700627823738,0.4482294746574681,,-0.20069268003263013,0.45402172506253996,4.532362004995171,0.20942177107871607,,FALSE
Culture,Dim.2,0.47456016439189713,0.24228991823464457,1.9586459389214514,0.05015426566488046,,-3.193491651606317e-4,0.9494396779489549,4.532362004995171,0.20942177107871607,,FALSE
Culture,Dim.3,0.29797744132598974,0.39754647445151226,0.7495411492130671,0.45353110659694984,,-0.48119933077984683,1.0771542134318264,4.532362004995171,0.20942177107871607,,FALSE
Grave,Dim.1,0.07367577949649567,0.12674744877300329,0.5812801773110586,0.5610516382272761,,-0.17474465523092617,0.32209621422391754,1.0053441546415227,0.7999588310000911,,FALSE
Grave,Dim.2,-0.16358965649269194,0.2493239325424454,-0.6561329866110712,0.5117385618585595,,-0.6522555847597787,0.3250762717743949,1.0053441546415227,0.7999588310000911,,FALSE
Grave,Dim.3,-0.007385768588975235,0.23893678543417865,-0.03091097327502063,0.9753405386979899,,-0.47569326262173983,0.4609217254437894,1.0053441546415227,0.7999588310000911,,FALSE
Grave_goods,Dim.1,-0.11628306486983851,0.17665365089443805,-0.6582545239290024,0.510374594401481,,-0.46251785836044895,0.2299517286207719,2.7980213407188685,0.42382574319115357,,FALSE
Grave_goods,Dim.2,0.34427274489539994,0.3008597569936729,1.1442964267987494,0.252500724663435,,-0.24540154320967145,0.9339470330004713,2.7980213407188685,0.42382574319115357,,FALSE
Grave_goods,Dim.3,-0.19704145640521104,0.4336524423654248,-0.45437644794623483,0.6495579010026691,,-1.046984625249275,0.6529017124388528,2.7980213407188685,0.42382574319115357,,FALSE
