model,y,term,estimate,std.error,statistic,p.value,p.adj,sig,component,alpha.adj,ci.lower,ci.upper,AIC,min,BIC,pseudoR2,max
fractional_logit,Culture,n_authors_log,-0.2903199765898175,0.2664239561364291,-1.08969171091038,0.275848968698262,1,,NA,0.01,-0.9765826099734585,0.3959426567938234,43.973887286465946,1,46.776282049790254,0.036094769327974605,0
fractional_logit,Culture,n_countries_log,-0.07944817827325956,0.24008433968926737,-0.33091778654154,0.7407065864699216,1,,NA,0.01,-0.6978644557680627,0.5389680992215435,44.92587447347114,1,47.72826923679545,0.0027752492415685837,1
fractional_logit,Culture,n_samples_log,0.25264504147826006,0.2971098903923233,0.8503420776220242,0.39513492907843806,1,,NA,0.01,-0.512659320568488,1.017949403525008,44.664792612751995,1,47.4671873760763,0.027781845784665856,0
fractional_logit,Culture,year_publication,0.2677057835884356,0.31563392010115365,0.8481527698374175,0.3963528964886201,1,,NA,0.01,-0.545313317002128,1.0807248841789994,45.36481061539102,1,48.16720537871533,0.030598114143209138,0
fractional_logit,Geolocation,arch_index,0.7464030234088415,0.3720396957323927,2.006245655962818,0.04483004493511567,0.22415022467557835,,NA,0.01,-0.21190772694207227,1.7047137737597553,34.22196648307776,1,37.024361246402066,0.10709050255038803,1
fractional_logit,Geolocation,n_authors_log,0.5626261620991985,0.5318159054981173,1.0579340638039458,0.2900855040172481,1,,NA,0.01,-0.8072408313762446,1.9324931555746416,37.42631480597651,1,40.22870956930082,0.05214095469405252,0
fractional_logit,Geolocation,n_countries_log,0.3873847877327315,0.47507118831001593,0.8154247137377164,0.41482924276445354,1,,NA,0.01,-0.8363175003880052,1.611087075853468,37.640562050602156,1,40.442956813926465,0.024955450583608013,0
fractional_logit,Geolocation,n_samples_log,2.287484631973913,0.9413660531761663,2.4299629503910265,0.015100366346348598,0.07550183173174299,,NA,0.01,-0.13731363316342815,4.712282897111254,18.464099460705796,1,21.266494224030108,0.4848490512017972,0
fractional_logit,Geolocation,year_publication,1.5587016981449948,0.5362279464757345,2.906789376401011,0.003651589768269631,0.018257948841348154,*,NA,0.01,0.1774700402309468,2.9399333560590426,28.41401971506584,1,31.216414478390153,0.25714458081387687,0
fractional_logit,Grave,arch_index,0.025943287725814536,0.30165239591350657,0.08600391734748002,0.9314633031738108,1,,NA,0.01,-0.7510617931539301,0.8029483686055592,35.31376108471956,0,38.11615584804387,4.942752317682659e-4,1
fractional_logit,Grave,n_authors_log,0.2846557966665993,0.19248570687960095,1.4788412151799426,0.13918275753672837,0.6959137876836419,,NA,0.01,-0.21115452762820092,0.7804661209613994,33.70805289706493,0,36.51044766038924,0.05930004847949707,0
fractional_logit,Grave,n_countries_log,0.1886783700408625,0.1944747539448664,0.9701946716145624,0.3319494661897304,1,,NA,0.01,-0.31225539997078644,0.6896121400525115,34.74943704949901,0,37.551831812823316,0.02681692951280932,0
fractional_logit,Grave,n_samples_log,-0.07554366414824064,0.24981608423215773,-0.3023971189862892,0.7623493507243777,1,,NA,0.01,-0.7190272544112728,0.5679399261147915,35.25356018231163,0,38.05595494563594,0.004269186523012113,1
fractional_logit,Grave,year_publication,0.04945193914904158,0.21358034836102033,0.23153787100979767,0.816896967810667,1,,NA,0.01,-0.5006945808214569,0.59959845911954,35.3591127752879,0,38.161507538612206,0.0018068387546424417,1
fractional_logit,Grave_goods,arch_index,0.04909734856663642,0.3382917199758513,0.14513316663541512,0.8846057323225489,1,,NA,0.01,-0.8222843768951201,0.9204790740283929,45.085491481011644,0,47.88788624433595,9.98635254687092e-4,1
fractional_logit,Grave_goods,n_authors_log,-0.3197292604726259,0.2556813215573013,-1.2504990920933217,0.21111728677145306,1,,NA,0.01,-0.9783207009100316,0.3388621799647798,42.96419174742728,0,45.76658651075159,0.04065193001955775,0
