aDNAID,CitationID,Country,Resampled,Site description,Multiple names,Geolocation,Overall chronology,Sample chronology,References,Culture,IndividualID,Anthropological sex,Anthropological age,Grave,Body positioning,Body arrangement,Grave goods,14C,Images,notes,...22
I2424 / 26 Burial 31,mathi2018a,Bulgaria,0,1,0,1,0,1,0,0,1,1,1.2,1,1.3,1.2,1.1,1,0,NA,NA
I2425 / 28 Grave No. 1,mathi2018a,Bulgaria,0,1,0,1,1,1,0,0,1,1,1.2,1,1.3,1.3,1.2,1,1.1,NA,NA
I2426 / 29 Grave No. 2,mathi2018a,Bulgaria,0,1,0,1,1,1,0,0,1,1,1.2,1,1.3,1.3,1.2,1,1.1,NA,NA
I2427 / 32 Grave No. 11,mathi2018a,Bulgaria,0,1,0,1,1,1,0,0,1,1,1.2,1,1.3,1.3,1.2,1,1.1,NA,NA
I2430 / 40 Burial 28,mathi2018a,Bulgaria,0,1,0,1,0,1,0,0,1,1,1.2,1,1.3,1.2,1.1,1,0,NA,NA
I2431 / 41,mathi2018a,Bulgaria,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,NA,NA
"I2509 / G2 (Bronze Age, grave 1)",mathi2018a,Bulgaria,0,1,0,1,0,1,1,0,1,1,1.1,1,0,0,0,1,0,NA,NA
"I2510 / No1 (Chalcolithic, grave 2 (1))",mathi2018a,Bulgaria,0,1,0,1,0,1,1,0,1,1,1.1,0,0,0,0,1,0,NA,NA
"I2519 / G4: (Chalcolithic, grave 4)",mathi2018a,Bulgaria,0,1,0,1,0,1,1,0,1,1,1.1,0,0,1.1,0,1,0,NA,NA
"I2520 / G5: (Bronze Age, grave 5)",mathi2018a,Bulgaria,0,1,0,1,0,1,1,0,1,1,1.1,1,1.2,1.1,1.1,1,0,NA,NA
"I2521 / No 7 (Neolithic, grave 7 (8))",mathi2018a,Bulgaria,0,1,0,1,0,1,1,0,1,1,1.1,0,1.1,1.1,0,1,0,NA,NA
I2526 / S2a,mathi2018a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.1,0,0,0,0,1,0,NA,NA
I2529 / Yaba4,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.1,1,1.1,1.1,1,1,1.1,NA,NA
I3879 / MP6 burial 10,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,0,1.1,0,1,1,0,0,0,NA,NA
"I5769 / No 8 (Iron Age, grave 9)",mathi2018a,Bulgaria,0,1,0,1,0,1,1,0,1,1,1.1,0,1.1,1.1,1.1,0,0,NA,NA
BOY001,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,1,1.2,0,0,1,0,NA,NA
BOY008,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.3,1,1.2,0,0,1,0,NA,NA
BOY009,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.3,1,1.2,0,0,1,0,NA,NA
BOY014,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.3,1,1.2,0,0,1,0,NA,NA
BOY019,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1.2,1,0,NA,NA
PTK003,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,1,1.2,1.1,0,1,0,NA,NA
PTK004,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,1,1.2,1.1,0,1,0,NA,NA
PTK005,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,0,1,1.2,1.1,0,0,0,NA,NA
VAR002,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.2,0,1.2,1.1,1,1,0,NA,NA
VAR003,pensk2023a,Bulgaria,0,1,0,1,1,1,1.1,1,1,1,1.2,0,0,0,0,0,0,NA,NA
VAR004,pensk2023a,Bulgaria,0,1,0,1,1,1,1.1,1,1,1,1.2,0,1.2,1.1,1.1,1,0,NA,NA
VAR006,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,1,1.2,1.1,1.2,1,0,NA,NA
VAR008,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,0,1.2,1.1,1.2,1,0,NA,NA
VAR009,pensk2023a,Bulgaria,0,1,0,1,1,1,1.1,1,1,1,1.2,0,1.2,1.1,1.1,1,0,NA,NA
VAR010,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,0,1.2,1.1,1.2,1,0,NA,NA
VAR011,pensk2023a,Bulgaria,0,1,0,1,1,1,1.1,1,1,1,1.2,1,1,0,1.2,1,0,NA,NA
VAR012,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.1,0,1,0,1.2,1,0,NA,NA
VAR016,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,0,1.2,1.1,1.2,1,0,NA,NA
