CitationID,Name,Affiliation
allen2024a,"Barrie, William","GeoGenetics Group, Department of Zoology, University of Cambridge, Cambridge, UK"
allen2024a,"Berezina, Natalia","Research Institute and Museum of Anthropology, Lomonosov Moscow State University, Mokhovaya str. 11, Moscow, Russian Federation"
allen2024a,"Blank, Malou","Department of Historical Studies, University of Gothenburg, Gothenburg, Sweden"
allen2024a,"Blasco, Concepción","Departamento de Prehistoria y Arqueología Department, Universidad Autónoma de Madrid, Madrid, Spain"
allen2024a,"Borić, Dušan","Department of Environmental Biology, Sapienza University of Rome, Rome, Italy"
allen2024a,"Borić, Dušan","Department of Anthropology, New York University, New York, USA"
allen2024a,"Borutskaya, Svetlana","Research Institute and Museum of Anthropology, Lomonosov Moscow State University, Mokhovaya str. 11, Moscow, Russian Federation"
allen2024a,"Buzhilova, Alexandra","Research Institute and Museum of Anthropology, Lomonosov Moscow State University, Mokhovaya str. 11, Moscow, Russian Federation"
allen2024a,"Calattini, Mauro","Department of history and cultural heritage, University of Siena, Siena, Italy"
allen2024a,"Cappellini, Enrico","Section for Evolutionary Genomics, GLOBE Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Card, Nick","Archaeology Institute, University of Highlands and Islands, Scotland, UK"
allen2024a,"Coppa, Alfredo","Department of Environmental Biology, Sapienza University of Rome, Rome, Italy"
allen2024a,"Courtaud, Patrice","UMR 5199 PACEA, CNRS, Université de Bordeaux, 33615 Pessac, France"
allen2024a,"Cuenca-Solana, David","Instituto Internacional de Investigaciones Prehistóricas de Cantabria, Universidad de Cantabria, Santander, Spain"
allen2024a,"Cuenca-Solana, David","Centre de Recherche en Archéologie, Archeosciences, Histoire (CReAAH), UMR-6566 CNRS, Rennes, France"
allen2024a,"de Barros Damgaard, Peter","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Delaneau, Olivier","Department of Computational Biology, University of Lausanne, Switzerland"
allen2024a,"Demeter, Fabrice","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Demeter, Fabrice","Muséum national d’Histoire naturelle, CNRS, Université de Paris, Musée de l’Homme, Paris, France"
allen2024a,"Dobisíková, Miluše","Department of Anthropology, Czech National Museum, Prague, Czech Republic"
allen2024a,"Duday, Henri","UMR 5199 PACEA, CNRS, Université de Bordeaux, 33615 Pessac, France"
allen2024a,"Durbin, Richard","Department of Genetics, University of Cambridge, Cambridge, UK"
allen2024a,"Durbin, Richard","Wellcome Sanger Institute, Wellcome Genome Campus, Cambridge, UK"
allen2024a,"En’shin, Dmitri","IPND, Tyumen Scientific Centre, Siberian Branch of the Russian Academy of Sciences, Tyumen, Russian Federation"
allen2024a,"Fischer, Anders","Department of Historical Studies, University of Gothenburg, Gothenburg, Sweden"
allen2024a,"Fischer, Anders","Sealand Archaeology, Gl. Roesnaesvej 27, 4400 Kalundborg, Denmark"
allen2024a,"Gaunitz, Charleen","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"González-Morales, Manuel","Instituto Internacional de Investigaciones Prehistóricas de Cantabria, Universidad de Cantabria, Santander, Spain"
allen2024a,"González-Rabanal, Borja","Grupo EvoAdapta, Departamento de Ciencias Históricas, Universidad de Cantabria, Santander, Spain"
